Project Name;Project Path;Images Folder;Image Name;Temp Folder;Temp Folder Ellipses;Temp Folder Crop;Temp Folder PreProcessing;Temp Folder KP and Desc;Temp Folder Mask;Minor Axis;Major Axis;Center X;Center Y;Angle
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;11799-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;471.1499329;429.5067749;392.5650635;394.9603577;95.14285278
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;12258-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;413.5446472;396.7114258;374.8607178;387.8330994;28.1570282
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;14433-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;414.7207031;410.9024048;381.8662415;399.697113;179.2089844
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;14582-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;435.7726746;384.1763;365.8447571;377.1087036;49.78355789
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;18051-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;429.9027405;391.0188904;411.0271301;425.3123169;165.6524048
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;18519-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;411.6932068;392.7698059;418.6916199;394.0547791;55.84863663
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;32307-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;447.5089417;376.1000977;387.4636841;438.5160217;92.34127045
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;32396-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;480.3822937;442.5411072;399.3287048;404.0937195;13.68475246
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;32734-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;447.2003174;415.6506042;417.0596619;399.5737;166.200882
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;33066-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;429.2996216;417.7530518;399.9595947;360.1668701;25.5739994
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;33784-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;438.3796387;423.8986206;385.5445557;367.8297119;99.8815918
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;36504-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;419.3161316;405.8694458;402.2110291;419.2011108;88.97838593
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;38191-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;419.7485657;395.9940796;397.8574829;403.1763306;78.80862427
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;38491-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;439.2718201;408.4357605;379.0637817;427.0584106;106.6189117
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;39861-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;423.5160828;402.9060974;403.9640198;407.5874939;79.13110352
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;40196-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;441.5236206;426.684082;416.0507202;388.2563477;47.433918
DS08_R_1205;D:\BDD MONNAIES JUILLAC\TEST_PRE_GITLAB\DS1_to_DS10\DS08_R_1205;IMAGES;5713-R.jpg;TEMP;ELLIPSES;CROP;PREPROC;KP AND DESC;MASK;412.7320251;375.6870422;398.7085876;390.757843;32.39712524
